"date", "low", "high", "open", "close", "volume", "range"
Fri Apr 21 2017,1236.15,1258.77,1236.15,1249.99,6669.15,22.62
Sat Apr 22 2017,1221.51,1253,1249.98,1247,6147.33,31.49
Sun Apr 23 2017,1236.2,1254,1246.79,1251.98,5023.53,17.80
Mon Apr 24 2017,1246.31,1261.16,1251.91,1257.29,5906.26,14.85
Tue Apr 25 2017,1256.16,1287,1256.65,1281.16,8117.84,30.84
Wed Apr 26 2017,1279.5,1320,1281.18,1298.44,9597.32,40.50
Thu Apr 27 2017,1295.39,1360,1297.56,1349.26,10484.92,64.61
Fri Apr 28 2017,1300.2,1381.01,1349.77,1353.34,14008.23,80.81
Sat Apr 29 2017,1335.64,1369.5,1352.96,1365.43,9669.12,33.86
Sun Apr 30 2017,1334.02,1394.51,1364.98,1384.55,10541.61,60.49
Mon May 01 2017,1370.98,1466.69,1384.55,1436.5,16992.30,95.71
Tue May 02 2017,1426.51,1492.93,1436.5,1471.99,12031.58,66.42
Wed May 03 2017,1453.68,1533,1471.79,1533,16319.01,79.32
Thu May 04 2017,1482.06,1665,1533,1563.39,26721.10,182.94
Fri May 05 2017,1535.11,1630,1561.47,1551.3,16888.14,94.89
Sat May 06 2017,1551.3,1598.89,1551.3,1585.39,9367.71,47.59
Sun May 07 2017,1563.87,1618.31,1585.49,1609.57,11737.57,54.44
Mon May 08 2017,1608,1713,1611.1,1713,15894.92,105.00
Tue May 09 2017,1630,1794.7,1712.99,1720.43,19878.97,164.70
Wed May 10 2017,1691.3,1799.99,1720.24,1794.99,13458.19,108.69
Thu May 11 2017,1770.95,1889,1794.95,1837.93,15726.10,118.05
Fri May 12 2017,1651.01,1838,1837.98,1695.61,16526.82,186.99
Sat May 13 2017,1610,1792.96,1695.56,1792.73,12377.80,182.96
Sun May 14 2017,1763.33,1829,1791.7,1799.99,6806.49,65.67
Mon May 15 2017,1702.42,1802.99,1799.98,1747.81,10191.85,100.57
Tue May 16 2017,1690.14,1777.76,1747.81,1777.48,11414.51,87.62
Wed May 17 2017,1745.05,1840,1777.49,1813.23,13806.65,94.95
Thu May 18 2017,1800,1900,1813.23,1899.16,11390.33,100.00
Fri May 19 2017,1890.73,1980,1899.47,1976.23,18971.31,89.27
Sat May 20 2017,1970.04,2059,1976.22,2058.91,13176.27,88.96
Sun May 21 2017,1988.6,2102.68,2058.89,2057,17762.48,114.08
Mon May 22 2017,1975,2298,2056.99,2123.29,29431.52,323.00
Tue May 23 2017,2100.86,2283,2123.29,2272.75,17640.94,182.14
Wed May 24 2017,2266.51,2474.69,2272.74,2432.97,24659.53,208.18
Thu May 25 2017,2226.86,2806,2432.96,2355,37192.74,579.14
Fri May 26 2017,2052.01,2683.18,2362.17,2272.7,31755.18,631.17
Sat May 27 2017,1913.19,2353.35,2276.46,2099.99,32466.16,440.16
Sun May 28 2017,2099.86,2342.99,2099.99,2232.78,18342.68,243.13
Mon May 29 2017,2141.12,2357.86,2237,2279.48,16926.34,216.74
Tue May 30 2017,2112.31,2336.88,2279.18,2191.58,20916.00,224.57
Wed May 31 2017,2173.8,2338.91,2191.6,2303.29,21726.93,165.11
Thu Jun 01 2017,2302,2488,2303.61,2419.99,21390.34,186.00
Fri Jun 02 2017,2379.44,2478.99,2419.98,2478.99,12890.66,99.55
Sat Jun 03 2017,2448,2599,2478.99,2548.05,13441.89,151.00
Sun Jun 04 2017,2469.98,2556.1,2548.3,2521.36,13820.31,86.12
Mon Jun 05 2017,2517.02,2698,2521.43,2698,13599.77,180.98
Tue Jun 06 2017,2674.69,2938.55,2698,2871.29,28609.06,263.86
Wed Jun 07 2017,2598.7,2885,2871.29,2685.64,19476.18,286.30
